age,income,monthly_spend,tenure_months,label
45,36105.12,1996.46,99,0
68,64562.65,1022.65,34,1
56,71561.62,100.0,89,1
49,75009.35,1452.22,12,0
44,68190.7,850.49,86,1
20,70242.17,1221.32,73,0
21,91525.01,1156.65,23,0
50,87068.61,1063.15,8,1
18,15000.0,1595.17,89,1
20,59286.11,433.57,29,0
29,62036.28,941.49,60,0
63,33462.23,1542.02,8,0
41,66695.3,892.96,115,1
54,87477.64,395.6,66,0
39,45441.78,1534.28,111,0
27,71055.22,1761.55,20,1
37,48515.18,1177.5,25,0
22,52905.58,219.58,73,0
58,91593.09,1552.98,72,1
27,55233.96,370.06,95,0
37,73319.82,1354.4,111,0
68,31318.07,756.27,98,0
48,98521.72,620.08,17,1
41,75847.74,979.04,37,0
46,61715.0,1108.35,109,1
58,75359.84,877.9,66,0
31,39623.25,1494.35,104,0
51,86285.55,976.97,67,0
63,59168.27,1690.1,6,1
47,61326.75,1340.59,57,1
41,56150.2,851.22,99,1
25,54548.27,767.03,78,0
30,77504.07,376.25,16,0
67,69606.32,1345.37,26,0
46,76731.47,1022.71,102,1
33,64841.7,100.0,117,0
39,74237.6,932.14,90,1
48,57460.72,749.48,12,1
45,105135.17,1987.84,74,1
54,36777.25,348.61,99,0
31,87696.87,479.32,77,0
51,89622.33,1754.98,71,1
41,49661.14,1878.38,56,1
66,105126.92,827.51,30,1
26,82918.83,883.96,34,0
25,82480.5,1508.12,89,0
42,65504.4,100.0,9,0
44,61089.93,269.4,11,0
53,61230.64,1059.63,48,0
39,72029.55,1974.95,93,0
65,90221.35,982.13,79,1
42,68263.66,1250.47,71,1
24,48594.01,1766.89,64,1
24,79839.69,2253.44,14,0
68,81580.71,911.58,40,0
24,76783.87,1191.58,10,0
67,78418.98,2111.03,91,1
32,60123.29,438.9,90,0
22,48278.19,1713.79,31,0
33,49372.52,690.84,35,0
49,35561.66,1251.24,38,0
40,69265.08,1078.69,106,1
58,63497.92,720.99,59,1
49,57080.22,708.45,91,0
38,15000.0,1338.21,54,0
51,42548.29,1697.77,84,0
68,85175.13,1135.13,63,1
39,53036.73,1235.06,34,0
25,71490.65,1485.59,105,0
39,39967.66,714.19,85,0
61,90896.7,1569.85,92,1
29,62407.5,1609.67,113,0
67,70220.73,2501.81,30,1
48,106864.04,1011.95,11,1
49,92295.92,970.96,70,1
34,59481.82,1584.48,39,0
65,54322.04,1609.55,52,1
19,59140.19,932.46,28,1
33,74178.17,998.42,48,0
39,63105.97,1470.57,47,1
42,57885.61,786.21,42,0
42,91409.26,994.73,89,0
25,62944.22,1244.8,71,0
29,106392.6,1697.97,57,0
22,66633.37,897.7,14,0
47,97135.73,278.81,68,0
36,71431.75,241.7,21,0
47,82333.29,570.29,38,1
48,51957.0,543.42,50,0
54,49632.33,1122.69,17,0
46,73274.71,605.56,47,0
51,82793.96,848.62,32,0
48,65724.62,812.96,102,0
51,41844.92,979.75,103,1
50,40515.35,1861.25,1,0
34,39311.54,1530.97,72,1
30,33182.8,1208.06,77,0
58,66970.74,969.49,45,1
35,85250.79,983.38,56,0
46,64758.52,1363.87,94,0
28,24312.53,1492.08,45,0
40,61566.31,746.19,8,0
45,62069.62,1218.24,45,1
50,102727.98,184.19,31,0
45,38771.52,1305.86,46,0
36,57967.8,1581.07,28,0
68,95705.35,1059.97,18,1
44,73099.61,2108.26,118,1
